Coconut Chutney,Garlic,1,g,#N/A
Penne Arrabiata Pasta,Garlic,3.33,g,Penne Arrabiata Pasta
Paratha Sabji,Garlic,1.67,g,Paratha Sabji
Green Peas Kabab,Ginger,1.67,g,Green Peas Kabab
Fruit Cream Salad,Grapes,50,g,Fruit Cream Salad
Fruit Chaat Salad,Grapes,12.5,g,Fruit Chaat Salad
Fruit Chaat Salad,Papaya,12.5,g,
Sweet Corn Salad,Green Capsicum,8.33,g,Sweet Corn Salad
Scrambled Egg,Green Chilly,1.67,g,Scrambled Egg
Veggie Cheese Omelette,Green Chilly,3.33,g,Veggie Cheese Omelette
Green Peas Kabab,Green Chilly,3.33,g,Green Peas Kabab
Green Chutney,Green Chilly,0,x,#N/A
Coconut Chutney,Green Chilly,0.33,g,#N/A
Chicken Patties,Green Chilly,1.67,g,Chicken Patties
Butter Milk,Green Chilly,0.33,g,Butter Milk
Mixed Sprout Salad,Green Chilly,0,x,Mixed Sprout Salad
Green Peas Kabab,Green Peas,116.67,g,Green Peas Kabab
Paratha Sabji,Green Peas,16.67,g,Paratha Sabji
Guava Shake,Guava,50,g,Guava Shake
Oatmeal Smoothie,Honey,8.33,g,Oatmeal Smoothie
Coleslaw Salad,Honey,1.67,g,Coleslaw Salad
Veg Stuffed Idli,Idli Batter,100,g,Veg Stuffed Idli
Watermelon Gazpacho,Lemon,0.17,Pcs,Watermelon Gazpacho
Lemonade,Lemon,0.5,pcs,Lemonade
Mixed Sprout Salad,Lemon,0.08,pcs,Mixed Sprout Salad
Potato Capsicum Salad,Lemon,0,x,Potato Capsicum Salad
Sweet Corn Salad,Lemon,0.17,pcs,Sweet Corn Salad
Chef's Style Salad,Lemon,0.17,pcs,Chef's Style Salad
Mixed Sprout Salad,Matt,41.67,g,Mixed Sprout Salad
Kathi Roll,Mayo,23.33,g,Kathi Roll
Gourmet Club Sandwich,Mayo,16.67,g,Gourmet Club Sandwich
Rockford Chicken Sandwich,Mayo,33.33,g,Rockford Chicken Sandwich
Thousand Island Sauce,Mayo,5,g,#N/A
Coleslaw Salad,Mayo,16.67,g,Coleslaw Salad
Pancakes,Milk,16.67,lit,Pancakes
Vegan Pancakes,Milk,16.67,lit,Vegan Pancakes
Banana Melon Punch,Milk,0.18,lit,Banana Melon Punch
Banana Musk Melon Punch,Milk,0.18,lit,Banana Musk Melon Punch
Oatmeal Smoothie,Milk,0.2,lt,Oatmeal Smoothie
Chikoo Shake,Milk,0.18,Lit,Chikoo Shake
Black Forest Protein Shake,Milk,0.18,lit,Black Forest Protein Shake
Guava Shake,Milk,0.18,lit,Guava Shake
Green Chutney,Mint,0,x,#N/A
Butter Milk,Mint,0.83,g,Butter Milk
Watermelon Gazpacho,Mint,0,x,Watermelon Gazpacho
Chicken Stroganoff,Mushroom,16.67,x,Chicken Stroganoff
Banana Musk Melon Punch,Musk Melon,8.33,g,Banana Musk Melon Punch
Fruit Chaat Salad,Musk Melon,25,g,Fruit Chaat Salad
Fruit Cream Salad,Musk Melon,33.33,g,Fruit Cream Salad
Paratha Sabji,Mustard Seeds,0,x,Paratha Sabji
Coconut Chutney,Mustard Seeds,0,x,#N/A
Fruit Cream Salad,Nashpati,66.67,g,Fruit Cream Salad
Oatmeal Smoothie,Oats,6.67,g,Oatmeal Smoothie
Veggie Cheese Omelette,Oil,0.01,lit,Veggie Cheese Omelette
Green Peas Kabab,Oil,0,x,Green Peas Kabab
Veg Stuffed Idli,Oil,0,x,Veg Stuffed Idli
Uttapam,Oil,0.01,lit,Uttapam
Coconut Chutney,Oil,0,x,#N/A
Penne Arrabiata Pasta,Oil,0,x,Penne Arrabiata Pasta
Chicken Stroganoff,Oil,0,x,Chicken Stroganoff
Sweet Corn Salad,Oil,0,x,Sweet Corn Salad
Scrambled Egg,Onion,16.67,g,Scrambled Egg
Veggie Cheese Omelette,Onion,23.33,g,Veggie Cheese Omelette
Kathi Roll,Onion,33.33,g,Kathi Roll
Green Peas Kabab,Onion,16.67,g,Green Peas Kabab
Uttapam,Onion,23.33,g,Uttapam
Penne Arrabiata Pasta,Onion,33.33,g,Penne Arrabiata Pasta
Chicken Patties,Onion,6.67,g,Chicken Patties
Chicken Stroganoff,Onion,33.33,x,Chicken Stroganoff
Mixed Sprout Salad,Onion,16.67,g,Mixed Sprout Salad
Paratha Sabji,Onion,33.33,g,Paratha Sabji
Sambhar,Onion,8.33,g,#N/A
Pancakes,Pancake Flour,50,g,Pancakes
Vegan Pancakes,Pancake Flour,50,g,Vegan Pancakes
Pancakes,Pancake Syrup,0.02,lit,Pancakes
Vegan Pancakes,Pancake Syrup,0.02,lit,Vegan Pancakes
Kathi Roll,Paneer,16.67,g,Kathi Roll
Penne Arrabiata Pasta,Parmesan Cheese,4.33,g,Penne Arrabiata Pasta
Thousand Island Sauce,Parsley,0.02,Bunch,#N/A
Penne Arrabiata Pasta,Penne Pasta,66.67,g,Penne Arrabiata Pasta
Kathi Roll,Pickle,1.67,g,Kathi Roll
Fruit Chaat Salad,Pineapple,33.33,g,Fruit Chaat Salad
Fruit Cream Salad,Pineapple,66.67,g,Fruit Cream Salad
Fruit Chaat Salad,Pomegranate,11.67,g,Fruit Chaat Salad
